year,sector name,entity name,item,cop,sector code,entity code
2013,AGROPECUARIO,AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA - AUNAP,Funcionamiento,8566545000,,1715.0
2013,AGROPECUARIO,AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA - AUNAP,Funcionamiento,8566545000,,1715.0
2013,AGROPECUARIO,AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA - AUNAP,Inversión,11369707320,,1715.0
2013,AGROPECUARIO,AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA - AUNAP,Inversión,11369707320,,1715.0
2013,AGROPECUARIO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),Funcionamiento,82594772000,,1702.0
2013,AGROPECUARIO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),Funcionamiento,82594772000,,1702.0
2013,AGROPECUARIO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),Servicio de la Deuda,238960000,,1702.0
2013,AGROPECUARIO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),Servicio de la Deuda,238960000,,1702.0
2013,AGROPECUARIO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),Inversión,179399000000,,1702.0
2013,AGROPECUARIO,INSTITUTO COLOMBIANO AGROPECUARIO (ICA),Inversión,179399000000,,1702.0
2013,AGROPECUARIO,INSTITUTO COLOMBIANO DE DESARROLLO RURAL - INCODER,Funcionamiento,50969057000,,
2013,AGROPECUARIO,INSTITUTO COLOMBIANO DE DESARROLLO RURAL - INCODER,Servicio de la Deuda,51000000,,
2013,AGROPECUARIO,INSTITUTO COLOMBIANO DE DESARROLLO RURAL - INCODER,Inversión,411764000000,,
2013,AGROPECUARIO,MINAGRICULTURA - GESTION GENERAL,Funcionamiento,174020966000,,
2013,AGROPECUARIO,MINAGRICULTURA - GESTION GENERAL,Inversión,1421906305470,,
2013,AGROPECUARIO,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS,Funcionamiento,33835000000,,1716.0
2013,AGROPECUARIO,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS,Funcionamiento,33835000000,,1716.0
2013,AGROPECUARIO,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS,Inversión,202918632770,,1716.0
2013,AGROPECUARIO,UNIDAD ADMINISTRATIVA ESPECIAL DE GESTION DE RESTITUCION DE TIERRAS DESPOJADAS,Inversión,202918632770,,1716.0
2013,AGROPECUARIO,"UNIDAD DE PLANIFICACION DE TIERRAS RURALES, ADECUACION DE TIERRAS Y USOS AGROPECUARIOS UPRA",Funcionamiento,6343160000,,
2013,AGROPECUARIO,"UNIDAD DE PLANIFICACION DE TIERRAS RURALES, ADECUACION DE TIERRAS Y USOS AGROPECUARIOS UPRA",Inversión,7965000000,,
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES ANLA,Funcionamiento,19735290000,32.0,
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION  PARA EL DESARROLLO SOSTENIBLE DE LA MOJANA Y EL SAN JORGE - CORPOMOJANA,Funcionamiento,1612001000,32.0,
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION  PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE DE LA AMAZONIA - CDA,Funcionamiento,1710100000,32.0,
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION  PARA EL DESARROLLO SOSTENIBLE DEL NORTE Y ORIENTE DE LA AMAZONIA - CDA,Inversión,450000000,32.0,
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE BOYACA (CORPOBOYACA),Funcionamiento,1661700000,32.0,3235.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE BOYACA (CORPOBOYACA),Funcionamiento,1661700000,32.0,3235.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE CALDAS (CORPOCALDAS),Funcionamiento,2662415000,32.0,3211.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE CALDAS (CORPOCALDAS),Funcionamiento,2662415000,32.0,3211.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE CHIVOR (CORPOCHIVOR),Funcionamiento,1648349000,32.0,3236.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE CHIVOR (CORPOCHIVOR),Funcionamiento,1648349000,32.0,3236.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE LA FRONTERA NORORIENTAL (CORPONOR),Funcionamiento,2620340000,32.0,3217.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE LA FRONTERA NORORIENTAL (CORPONOR),Funcionamiento,2620340000,32.0,3217.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE LA GUAJIRA (CORPOGUAJIRA),Funcionamiento,2782340000,32.0,3218.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIA (CORPORINOQUIA),Funcionamiento,1552840000,32.0,3229.0
2013,AMBIENTE Y DESARROLLO SOSTENIBLE,CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIA (CORPORINOQUIA),Funcionamiento,1552840000,32.0,3229.0
